                  epoch,         train/box_loss,         train/cls_loss,           val/box_loss,           val/cls_loss
                      1,                0.98947,                 3.0099,                 1.2057,                0.60731
                      2,                0.68391,                 0.6029,                 1.3464,                0.76234
                      3,                 0.6924,                0.53252,                 1.3406,                0.64646
                      4,                0.71408,                0.53931,                 1.1803,                0.72341
                      5,                0.70834,                0.52402,                  1.279,                0.74749
                      6,                 0.6903,                0.50039,                 1.1872,                0.60311
                      7,                0.67432,                0.49068,                 1.0668,                0.58074
                      8,                0.66863,                0.47507,                 1.0723,                0.56903
                      9,                0.66667,                0.47636,                 1.1197,                0.61693
                     10,                0.67025,                0.47243,                 1.1272,                 0.6078
                     11,                0.64879,                  0.462,                 1.2572,                0.56326
                     12,                0.64607,                0.46075,                 1.2632,                0.56924
                     13,                0.65077,                0.45968,                 1.0457,                0.48948
                     14,                0.64454,                0.45431,                 1.0642,                0.53398
                     15,                0.64261,                0.45016,                 1.0364,                0.48058
                     16,                0.63734,                0.44775,                  1.162,                0.51094
                     17,                0.63113,                0.43461,                 1.0895,                0.49108
                     18,                0.63214,                0.44744,                 1.2046,                0.58455
                     19,                0.62745,                0.44158,                 1.1127,                0.57162
                     20,                0.62591,                0.44173,                 1.0501,                0.51624
                     21,                0.62045,                 0.4317,                  1.168,                 0.5029
                     22,                0.62006,                0.43319,                 0.9655,                0.55996
                     23,                0.61999,                0.43468,                 1.0568,                0.53343
                     24,                0.61221,                0.43695,                 1.0438,                0.51849
                     25,                0.62134,                0.43006,                 1.0691,                0.53125
                     26,                 0.6146,                0.43648,                0.94659,                0.51667
                     27,                0.60817,                0.42569,                 1.1316,                0.50181
                     28,                0.61632,                0.43134,                 1.1947,                0.59178
                     29,                0.60904,                0.42984,                 1.0437,                0.47915
                     30,                0.60766,                0.43209,                 1.0068,                0.51159
                     31,                0.60367,                 0.4232,                 0.9402,                0.50509
                     32,                0.59875,                0.42459,                 1.0028,                0.50461
                     33,                0.60354,                 0.4241,                 1.0212,                0.52333
                     34,                0.59627,                0.41867,                 1.0258,                0.52665
                     35,                0.59145,                0.41664,                 1.0335,                0.51886
                     36,                0.58461,                0.41771,                 1.0792,                 0.5087
                     37,                0.59259,                 0.4214,                 1.0177,                0.50808
                     38,                0.58759,                0.41746,                0.97448,                0.52239
                     39,                0.58842,                0.42078,                 1.0251,                0.46484
                     40,                0.58763,                0.41632,                0.98655,                0.47967
                     41,                0.57849,                0.40978,                 1.2117,                0.50556
                     42,                0.58495,                0.41732,                 1.0281,                0.49571
                     43,                0.57731,                0.41603,                 1.0807,                0.47225
                     44,                0.57396,                0.41709,                 1.0922,                0.47928
                     45,                 0.5804,                0.41416,                0.98043,                0.44559
                     46,                0.57503,                0.41266,                 1.0785,                0.47002
                     47,                0.57565,                0.40991,                0.98555,                0.45351
                     48,                0.57758,                0.40767,                 1.0575,                0.46063
                     49,                0.57716,                0.40314,                 1.0025,                0.47376
                     50,                 0.5837,                0.40008,                 1.0417,                0.44768
                     51,                0.56611,                0.41167,                 1.0436,                0.52455
                     52,                0.57547,                0.40108,                 1.0744,                0.48071
                     53,                 0.5616,                  0.406,                 1.0653,                0.49155
                     54,                0.57639,                0.40796,                0.99493,                0.46574
                     55,                0.56916,                0.40134,                 1.0649,                0.49727
                     56,                0.57122,                0.40577,                 1.0233,                0.45367
                     57,                0.57121,                0.39608,                0.99063,                0.48955
                     58,                0.57142,                0.40273,                 1.0861,                0.48278
                     59,                 0.5591,                0.40141,                 1.0409,                 0.4971
                     60,                0.55479,                0.40131,                 1.0251,                0.48295
                     61,                0.55931,                0.39694,                0.97442,                0.51976
                     62,                0.56177,                  0.402,                0.99763,                0.44182
                     63,                 0.5576,                0.39754,                 1.0156,                0.47097
                     64,                0.55675,                0.40305,                  1.049,                0.46841
                     65,                0.55578,                0.39727,                 1.0189,                0.45805
                     66,                0.55589,                0.39423,                 1.0644,                 0.4474
                     67,                0.54903,                0.39735,                0.99019,                 0.4706
                     68,                0.54825,                 0.3923,                 1.0176,                  0.466
                     69,                0.55296,                0.39048,                0.98588,                0.44669
                     70,                0.54571,                0.39497,                 1.0031,                 0.4486
                     71,                0.55071,                0.39392,                 0.9877,                0.44194
                     72,                0.54892,                0.38939,                0.97081,                0.46212
                     73,                 0.5487,                0.38704,                0.99324,                0.45866
                     74,                0.54534,                0.38473,                 1.0212,                0.46262
                     75,                0.55272,                 0.3876,                 1.0147,                0.44643
                     76,                0.54965,                0.39295,                0.99207,                0.46416
                     77,                0.54423,                 0.3868,                 1.1062,                0.46442
                     78,                0.54877,                0.38973,                0.97291,                0.45458
                     79,                0.54388,                0.39058,                 1.0454,                0.44497
                     80,                0.53705,                0.38574,                 1.0224,                0.44049
